SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year
B11	NA	NA	NA	NA	3166			
B12	NA	NA	NA	NA	3167			
B14	NA	NA	NA	NA	3167			
B15	NA	NA	NA	NA	3167			
B18	NA	NA	NA	NA	3167			
B19	NA	NA	NA	NA	3167			
B3	NA	NA	NA	NA	3165			
B4	NA	NA	NA	NA	3165			
B5	NA	NA	NA	NA	3166			
B6	NA	NA	NA	NA	3166			
B7	NA	NA	NA	NA	3166			
B8	NA	NA	NA	NA	3166			
DEH1-1-106	DEH1	B73_MO17	1	106	3166	7	9	2019
DEH1-1-112	DEH1	B14A_OH43	1	112	3166	7	9	2019
DEH1-1-116	DEH1	B73_PHM49	1	116	3166	7	9	2019
DEH1-1-136	DEH1	B37_H95	1	136	3166	7	9	2019
DEH1-1-13	DEH1	PHW52_PHN82	1	13	3166	7	9	2019
DEH1-1-154	DEH1	B37_OH43	1	154	3166	7	9	2019
DEH1-1-173	DEH1	CG44_CGR01	1	173	3166	7	9	2019
DEH1-1-187	DEH1	F42_OH43	1	187	3166	7	9	2019
DEH1-1-190	DEH1	PHW52_PHM49	1	190	3166	7	9	2019
DEH1-1-198	DEH1	2369_LH123HT	1	198	3166	7	9	2019
DEH1-1-255	DEH1	B37_OH43	1	255	3166	7	9	2019
DEH1-1-302	DEH1	PHW52_PHN82	1	302	3166	7	9	2019
DEH1-1-304	DEH1	B37_H95	1	304	3166	7	9	2019
DEH1-1-31	DEH1	B14A_MO17	1	31	3166	7	9	2019
DEH1-1-331	DEH1	B14A_OH43	1	331	3166	7	9	2019
DEH1-1-345	DEH1	B14A_MO17	1	345	3166	7	9	2019
DEH1-1-35	DEH1	B73_PHN82	1	35	3166	7	9	2019
DEH1-1-360	DEH1	B37_MO17	1	360	3166	7	9	2019
DEH1-1-361	DEH1	2369_LH123HT	1	361	3166	7	9	2019
DEH1-1-363	DEH1	PHG39_PHN82	1	363	3166	7	9	2019
DEH1-1-369	DEH1	B73_PHM49	1	369	3166	7	9	2019
DEH1-1-391	DEH1	B73_MO17	1	391	3166	7	9	2019
DEH1-1-399	DEH1	CG44_CGR01	1	399	3166	7	9	2019
DEH1-1-39	DEH1	F42_MO17	1	39	3166	7	9	2019
DEH1-1-40	DEH1	CG119_CG108	1	40	3166	7	9	2019
DEH1-1-414	DEH1	B14A_H95	1	414	3166	7	9	2019
DEH1-1-422	DEH1	B73_PHN82	1	422	3166	7	9	2019
DEH1-1-439	DEH1	F42_MO17	1	439	3166	7	9	2019
DEH1-1-469	DEH1	F42_H95	1	469	3166	7	9	2019
DEH1-1-477	DEH1	LH74_PHN82	1	477	3166	7	9	2019
DEH1-1-495	DEH1	PHW52_PHM49	1	495	3166	7	9	2019
DEH1-1-500	DEH1	F42_OH43	1	500	3166	7	9	2019
DEH1-1-6	DEH1	F42_H95	1	6	3166	7	9	2019
DEH1-1-75	DEH1	PHG39_PHN82	1	75	3166	7	9	2019
DEH1-1-86	DEH1	B37_MO17	1	86	3166	7	9	2019
DEH1-1-91	DEH1	LH74_PHN82	1	91	3166	7	9	2019
DEH1-1-94	DEH1	B14A_H95	1	94	3166	7	9	2019
DEH1-2-505	DEH1	F42_MO17	2	505	3166	7	9	2019
DEH1-2-514	DEH1	B73_PHM49	2	514	3166	7	9	2019
DEH1-2-522	DEH1	F42_H95	2	522	3166	7	9	2019
DEH1-2-530	DEH1	B37_H95	2	530	3166	7	9	2019
DEH1-2-566	DEH1	PHW52_PHN82	2	566	3166	7	9	2019
DEH1-2-580	DEH1	B73_PHN82	2	580	3166	7	9	2019
DEH1-2-585	DEH1	CG44_CGR01	2	585	3166	7	9	2019
DEH1-2-596	DEH1	F42_OH43	2	596	3166	7	9	2019
DEH1-2-610	DEH1	2369_LH123HT	2	610	3166	7	9	2019
DEH1-2-614	DEH1	PHW52_PHM49	2	614	3166	7	9	2019
DEH1-2-617	DEH1	B14A_MO17	2	617	3166	7	9	2019
DEH1-2-620	DEH1	B14A_H95	2	620	3166	7	9	2019
DEH1-2-629	DEH1	B14A_OH43	2	629	3166	7	9	2019
DEH1-2-637	DEH1	B37_MO17	2	637	3166	7	9	2019
DEH1-2-655	DEH1	B37_OH43	2	655	3166	7	9	2019
DEH1-2-689	DEH1	LH74_PHN82	2	689	3166	7	9	2019
DEH1-2-713	DEH1	B73_MO17	2	713	3166	7	9	2019
DEH1-2-719	DEH1	CG119_CG108	2	719	3166	7	9	2019
DEH1-2-720	DEH1	PHG39_PHN82	2	720	3166	7	9	2019
DEH1-2-751	DEH1	B14A_MO17	2	751	3166	7	9	2019
DEH1-2-756	DEH1	B73_PHN82	2	756	3166	7	9	2019
DEH1-2-780	DEH1	F42_H95	2	780	3166	7	9	2019
DEH1-2-791	DEH1	PHW52_PHN82	2	791	3166	7	9	2019
DEH1-2-809	DEH1	F42_MO17	2	809	3166	7	9	2019
DEH1-2-827	DEH1	B14A_H95	2	827	3166	7	9	2019
DEH1-2-839	DEH1	B73_PHM49	2	839	3166	7	9	2019
DEH1-2-846	DEH1	B73_MO17	2	846	3166	7	9	2019
DEH1-2-860	DEH1	CG44_CGR01	2	860	3166	7	9	2019
DEH1-2-866	DEH1	B37_OH43	2	866	3166	7	9	2019
DEH1-2-900	DEH1	LH74_PHN82	2	900	3166	7	9	2019
DEH1-2-902	DEH1	PHG39_PHN82	2	902	3166	7	9	2019
DEH1-2-917	DEH1	F42_OH43	2	917	3166	7	9	2019
DEH1-2-923	DEH1	B37_MO17	2	923	3166	7	9	2019
DEH1-2-937	DEH1	2369_LH123HT	2	937	3166	7	9	2019
DEH1-2-968	DEH1	B14A_OH43	2	968	3166	7	9	2019
DEH1-2-985	DEH1	CG119_CG108	2	985	3166	7	9	2019
DEH1-2-987	DEH1	B37_H95	2	987	3166	7	9	2019
DEH1-2-994	DEH1	PHW52_PHM49	2	994	3166	7	9	2019
GAH1-1-105	GAH1	F42_MO17	1	105	3165	5	23	2019
GAH1-1-109	GAH1	TX779_LH195	1	109	3165	5	23	2019
GAH1-1-145	GAH1	B14A_OH43	1	145	3165	5	23	2019
GAH1-1-146	GAH1	LH74_PHN82	1	146	3165	5	23	2019
GAH1-1-152	GAH1	B14A_H95	1	152	3165	5	23	2019
GAH1-1-162	GAH1	PHG39_PHN82	1	162	3165	5	23	2019
GAH1-1-170	GAH1	CG119_CG108	1	170	3165	5	23	2019
GAH1-1-172	GAH1	B73_PHN82	1	172	3165	5	23	2019
GAH1-1-17	GAH1	TX777_LH195	1	17	3165	5	23	2019
GAH1-1-184	GAH1	B73_TX779	1	184	3165	5	23	2019
GAH1-1-195	GAH1	F42_OH43	1	195	3165	5	23	2019
GAH1-1-206	GAH1	B73_PHM49	1	206	3165	5	23	2019
GAH1-1-20	GAH1	B37_OH43	1	20	3165	5	23	2019
GAH1-1-210	GAH1	PHW52_PHM49	1	210	3165	5	23	2019
GAH1-1-216	GAH1	B37_MO17	1	216	3165	5	23	2019
GAH1-1-22	GAH1	B14A_MO17	1	22	3165	5	23	2019
GAH1-1-243	GAH1	2369_LH123HT	1	243	3165	5	23	2019
GAH1-1-48	GAH1	B37_H95	1	48	3165	5	23	2019
GAH1-1-51	GAH1	B73_MO17	1	51	3165	5	23	2019
GAH1-1-68	GAH1	PHW52_PHN82	1	68	3165	5	23	2019
GAH1-1-70	GAH1	CG44_CGR01	1	70	3165	5	23	2019
GAH1-1-71	GAH1	LH132_TX779	1	71	3165	5	23	2019
GAH1-1-94	GAH1	TX714_TX779	1	94	3165	5	23	2019
GAH1-2-277	GAH1	B73_PHM49	2	277	3165	5	23	2019
GAH1-2-285	GAH1	TX779_LH195	2	285	3165	5	23	2019
GAH1-2-302	GAH1	CG119_CG108	2	302	3165	5	23	2019
GAH1-2-309	GAH1	B73_MO17	2	309	3165	5	23	2019
GAH1-2-310	GAH1	CG44_CGR01	2	310	3165	5	23	2019
GAH1-2-313	GAH1	TX714_TX779	2	313	3165	5	23	2019
GAH1-2-337	GAH1	PHW52_PHM49	2	337	3165	5	23	2019
GAH1-2-347	GAH1	B37_H95	2	347	3165	5	23	2019
GAH1-2-370	GAH1	TX110_87916	2	370	3165	5	23	2019
GAH1-2-377	GAH1	TX777_LH195	2	377	3165	5	23	2019
GAH1-2-382	GAH1	F42_H95	2	382	3165	5	23	2019
GAH1-2-386	GAH1	PHG39_PHN82	2	386	3165	5	23	2019
GAH1-2-395	GAH1	B14A_OH43	2	395	3165	5	23	2019
GAH1-2-423	GAH1	PHW52_PHN82	2	423	3165	5	23	2019
GAH1-2-435	GAH1	B37_OH43	2	435	3165	5	23	2019
GAH1-2-445	GAH1	2369_LH123HT	2	445	3165	5	23	2019
GAH1-2-450	GAH1	F42_MO17	2	450	3165	5	23	2019
GAH1-2-462	GAH1	B14A_MO17	2	462	3165	5	23	2019
GAH1-2-463	GAH1	B14A_H95	2	463	3165	5	23	2019
GAH1-2-465	GAH1	B37_MO17	2	465	3165	5	23	2019
GAH1-2-495	GAH1	LH74_PHN82	2	495	3165	5	23	2019
GAH1-2-501	GAH1	B73_TX779	2	501	3165	5	23	2019
GAH2-1-106	GAH2	TX777_LH195	1	106	3165	6	13	2019
GAH2-1-108	GAH2	B14A_OH43	1	108	3165	6	13	2019
GAH2-1-132	GAH2	B37_MO17	1	132	3165	6	13	2019
GAH2-1-135	GAH2	B73_MO17	1	135	3165	6	13	2019
GAH2-1-153	GAH2	PHW52_PHM49	1	153	3165	6	13	2019
GAH2-1-170	GAH2	B37_OH43	1	170	3165	6	13	2019
GAH2-1-184	GAH2	B14A_H95	1	184	3165	6	13	2019
GAH2-1-191	GAH2	B73_TX779	1	191	3165	6	13	2019
GAH2-1-206	GAH2	F42_OH43	1	206	3165	6	13	2019
GAH2-1-217	GAH2	LH74_PHN82	1	217	3165	6	13	2019
GAH2-1-220	GAH2	B73_PHN82	1	220	3165	6	13	2019
GAH2-1-226	GAH2	2369_LH123HT	1	226	3165	6	13	2019
GAH2-1-242	GAH2	TX779_LH195	1	242	3165	6	13	2019
GAH2-1-245	GAH2	TX714_TX779	1	245	3165	6	13	2019
GAH2-1-38	GAH2	TX110_87916	1	38	3165	6	13	2019
GAH2-1-46	GAH2	B37_H95	1	46	3165	6	13	2019
GAH2-1-49	GAH2	PHW52_PHN82	1	49	3165	6	13	2019
GAH2-1-50	GAH2	LH132_TX779	1	50	3165	6	13	2019
GAH2-1-52	GAH2	CG44_CGR01	1	52	3165	6	13	2019
GAH2-1-6	GAH2	B14A_MO17	1	6	3165	6	13	2019
GAH2-1-73	GAH2	PHG39_PHN82	1	73	3165	6	13	2019
GAH2-1-83	GAH2	F42_MO17	1	83	3165	6	13	2019
GAH2-1-86	GAH2	F42_H95	1	86	3165	6	13	2019
GAH2-1-98	GAH2	B73_PHM49	1	98	3165	6	13	2019
GAH2-2-268	GAH2	B73_MO17	2	268	3165	6	13	2019
GAH2-2-282	GAH2	B73_TX779	2	282	3165	6	13	2019
GAH2-2-284	GAH2	TX779_LH195	2	284	3165	6	13	2019
GAH2-2-293	GAH2	B14A_H95	2	293	3165	6	13	2019
GAH2-2-299	GAH2	B37_H95	2	299	3165	6	13	2019
GAH2-2-307	GAH2	B37_OH43	2	307	3165	6	13	2019
GAH2-2-353	GAH2	PHW52_PHM49	2	353	3165	6	13	2019
GAH2-2-360	GAH2	PHW52_PHN82	2	360	3165	6	13	2019
GAH2-2-376	GAH2	CG44_CGR01	2	376	3165	6	13	2019
GAH2-2-379	GAH2	F42_OH43	2	379	3165	6	13	2019
GAH2-2-383	GAH2	2369_LH123HT	2	383	3165	6	13	2019
GAH2-2-386	GAH2	TX777_LH195	2	386	3165	6	13	2019
GAH2-2-398	GAH2	F42_H95	2	398	3165	6	13	2019
GAH2-2-408	GAH2	B73_PHN82	2	408	3165	6	13	2019
GAH2-2-410	GAH2	F42_MO17	2	410	3165	6	13	2019
GAH2-2-412	GAH2	LH74_PHN82	2	412	3165	6	13	2019
GAH2-2-433	GAH2	PHG39_PHN82	2	433	3165	6	13	2019
GAH2-2-437	GAH2	LH132_TX779	2	437	3165	6	13	2019
GAH2-2-441	GAH2	B14A_OH43	2	441	3165	6	13	2019
GAH2-2-455	GAH2	TX110_87916	2	455	3165	6	13	2019
GAH2-2-458	GAH2	B14A_MO17	2	458	3165	6	13	2019
GAH2-2-461	GAH2	B73_PHM49	2	461	3165	6	13	2019
GAH2-2-472	GAH2	B37_MO17	2	472	3165	6	13	2019
GAH2-2-487	GAH2	CG119_CG108	2	487	3165	6	13	2019
GAH2-2-494	GAH2	TX714_TX779	2	494	3165	6	13	2019
IAH2-1-148	IAH2	F42_OH43	1	148	3166	7	16	2019
IAH2-1-160	IAH2	F42_H95	1	160	3166	7	16	2019
IAH2-1-207	IAH2	B73_PHN82	1	207	3166	7	16	2019
IAH2-1-230	IAH2	B73_PHM49	1	230	3166	7	16	2019
IAH2-1-238	IAH2	PHG39_PHN82	1	238	3166	7	16	2019
IAH2-1-254	IAH2	F42_MO17	1	254	3166	7	16	2019
IAH2-1-27	IAH2	CG119_CG108	1	27	3166	7	16	2019
IAH2-1-321	IAH2	LH74_PHN82	1	321	3166	7	16	2019
IAH2-1-345	IAH2	2369_LH123HT	1	345	3166	7	16	2019
IAH2-1-349	IAH2	B37_H95	1	349	3166	7	16	2019
IAH2-1-378	IAH2	B73_MO17	1	378	3166	7	16	2019
IAH2-1-379	IAH2	B14A_H95	1	379	3166	7	16	2019
IAH2-1-424	IAH2	CG44_CGR01	1	424	3166	7	16	2019
IAH2-1-431	IAH2	PHW52_PHN82	1	431	3166	7	16	2019
IAH2-1-44	IAH2	B37_OH43	1	44	3166	7	16	2019
IAH2-1-452	IAH2	PHW52_PHM49	1	452	3166	7	16	2019
IAH2-1-5	IAH2	B37_MO17	1	5	3166	7	16	2019
IAH2-1-85	IAH2	B14A_OH43	1	85	3166	7	16	2019
IAH2-1-94	IAH2	B14A_MO17	1	94	3166	7	16	2019
IAH2-2-542	IAH2	F42_H95	2	542	3166	7	16	2019
IAH2-2-562	IAH2	B14A_OH43	2	562	3166	7	16	2019
IAH2-2-570	IAH2	B37_MO17	2	570	3166	7	16	2019
IAH2-2-605	IAH2	B14A_MO17	2	605	3166	7	16	2019
IAH2-2-625	IAH2	B37_OH43	2	625	3166	7	16	2019
IAH2-2-633	IAH2	CG44_CGR01	2	633	3166	7	16	2019
IAH2-2-638	IAH2	B14A_H95	2	638	3166	7	16	2019
IAH2-2-640	IAH2	PHG39_PHN82	2	640	3166	7	16	2019
IAH2-2-693	IAH2	PHW52_PHM49	2	693	3166	7	16	2019
IAH2-2-710	IAH2	F42_MO17	2	710	3166	7	16	2019
IAH2-2-739	IAH2	CG119_CG108	2	739	3166	7	16	2019
IAH2-2-742	IAH2	PHW52_PHN82	2	742	3166	7	16	2019
IAH2-2-777	IAH2	F42_OH43	2	777	3166	7	16	2019
IAH2-2-788	IAH2	B37_H95	2	788	3166	7	16	2019
IAH2-2-804	IAH2	2369_LH123HT	2	804	3166	7	16	2019
IAH2-2-843	IAH2	B73_MO17	2	843	3166	7	16	2019
IAH2-2-871	IAH2	B73_PHN82	2	871	3166	7	16	2019
IAH2-2-907	IAH2	B73_PHM49	2	907	3166	7	16	2019
IAH2-2-921	IAH2	LH74_PHN82	2	921	3166	7	16	2019
IAH4-1-102	IAH4	B73_PHN82	1	102	3167	8	7	2019
IAH4-1-108	IAH4	F42_H95	1	108	3167	8	7	2019
IAH4-1-125	IAH4	CG119_CG108	1	125	3167	8	7	2019
IAH4-1-16	IAH4	B37_MO17	1	16	3167	8	7	2019
IAH4-1-176	IAH4	B14A_OH43	1	176	3167	8	7	2019
IAH4-1-214	IAH4	PHW52_PHN82	1	214	3167	8	7	2019
IAH4-1-249	IAH4	B14A_H95	1	249	3167	8	7	2019
IAH4-1-260	IAH4	PHW52_PHM49	1	260	3167	8	7	2019
IAH4-1-281	IAH4	2369_LH123HT	1	281	3167	8	7	2019
IAH4-1-337	IAH4	B73_MO17	1	337	3167	8	7	2019
IAH4-1-353	IAH4	F42_OH43	1	353	3167	8	7	2019
IAH4-1-356	IAH4	F42_MO17	1	356	3167	8	7	2019
IAH4-1-366	IAH4	LH74_PHN82	1	366	3167	8	7	2019
IAH4-1-369	IAH4	B37_H95	1	369	3167	8	7	2019
IAH4-1-441	IAH4	B14A_H95	1	441	3167	8	7	2019
IAH4-1-448	IAH4	B73_PHN82	1	448	3167	8	7	2019
IAH4-1-459	IAH4	PHG39_PHN82	1	459	3167	8	7	2019
IAH4-1-462	IAH4	B73_PHM49	1	462	3167	8	7	2019
IAH4-1-465	IAH4	CG44_CGR01	1	465	3167	8	7	2019
IAH4-1-49	IAH4	B14A_MO17	1	49	3167	8	7	2019
IAH4-1-513	IAH4	PHW52_PHM49	1	513	3167	8	7	2019
IAH4-1-543	IAH4	B14A_MO17	1	543	3167	8	7	2019
IAH4-1-554	IAH4	F42_H95	1	554	3167	8	7	2019
IAH4-1-563	IAH4	CG119_CG108	1	563	3167	8	7	2019
IAH4-1-57	IAH4	PHG39_PHN82	1	57	3167	8	7	2019
IAH4-1-582	IAH4	B14A_OH43	1	582	3167	8	7	2019
IAH4-1-588	IAH4	B37_OH43	1	588	3167	8	7	2019
IAH4-1-65	IAH4	B73_PHM49	1	65	3167	8	7	2019
IAH4-1-663	IAH4	PHW52_PHN82	1	663	3167	8	7	2019
IAH4-1-672	IAH4	LH74_PHN82	1	672	3167	8	7	2019
IAH4-1-716	IAH4	B73_MO17	1	716	3167	8	7	2019
IAH4-1-723	IAH4	F42_OH43	1	723	3167	8	7	2019
IAH4-1-752	IAH4	B37_MO17	1	752	3167	8	7	2019
IAH4-1-755	IAH4	F42_MO17	1	755	3167	8	7	2019
IAH4-1-764	IAH4	B37_H95	1	764	3167	8	7	2019
IAH4-1-787	IAH4	2369_LH123HT	1	787	3167	8	7	2019
IAH4-1-82	IAH4	CG44_CGR01	1	82	3167	8	7	2019
IAH4-2-1016	IAH4	PHW52_PHM49	2	1016	3166	8	7	2019
IAH4-2-1023	IAH4	B14A_H95	2	1023	3166	8	7	2019
IAH4-2-1032	IAH4	B14A_MO17	2	1032	3166	8	7	2019
IAH4-2-1044	IAH4	F42_OH43	2	1044	3166	8	7	2019
IAH4-2-1061	IAH4	B73_PHN82	2	1061	3166	8	7	2019
IAH4-2-1067	IAH4	F42_H95	2	1067	3166	8	7	2019
IAH4-2-1068	IAH4	F42_MO17	2	1068	3166	8	7	2019
IAH4-2-1082	IAH4	CG119_CG108	2	1082	3166	8	7	2019
IAH4-2-1088	IAH4	PHG39_PHN82	2	1088	3166	8	7	2019
IAH4-2-1153	IAH4	2369_LH123HT	2	1153	3166	8	7	2019
IAH4-2-1174	IAH4	B37_OH43	2	1174	3166	8	7	2019
IAH4-2-1187	IAH4	PHW52_PHN82	2	1187	3166	8	7	2019
IAH4-2-1218	IAH4	F42_MO17	2	1218	3166	8	7	2019
IAH4-2-1220	IAH4	PHW52_PHN82	2	1220	3166	8	7	2019
IAH4-2-1290	IAH4	LH74_PHN82	2	1290	3166	8	7	2019
IAH4-2-1336	IAH4	F42_H95	2	1336	3166	8	7	2019
IAH4-2-1378	IAH4	CG119_CG108	2	1378	3166	8	7	2019
IAH4-2-1390	IAH4	CG44_CGR01	2	1390	3166	8	7	2019
IAH4-2-1401	IAH4	F42_OH43	2	1401	3166	8	7	2019
IAH4-2-1405	IAH4	2369_LH123HT	2	1405	3166	8	7	2019
IAH4-2-1409	IAH4	B14A_OH43	2	1409	3166	8	7	2019
IAH4-2-1414	IAH4	B73_MO17	2	1414	3166	8	7	2019
IAH4-2-1444	IAH4	B14A_MO17	2	1444	3166	8	7	2019
IAH4-2-1460	IAH4	PHG39_PHN82	2	1460	3166	8	7	2019
IAH4-2-1494	IAH4	B73_PHM49	2	1494	3166	8	7	2019
IAH4-2-1498	IAH4	B37_OH43	2	1498	3166	8	7	2019
IAH4-2-1516	IAH4	B73_PHN82	2	1516	3166	8	7	2019
IAH4-2-1526	IAH4	PHW52_PHM49	2	1526	3166	8	7	2019
IAH4-2-1534	IAH4	B14A_H95	2	1534	3166	8	7	2019
IAH4-2-1536	IAH4	B37_H95	2	1536	3166	8	7	2019
IAH4-2-1570	IAH4	B37_MO17	2	1570	3166	8	7	2019
